name,prompt,negative_prompt
doctor_strange,"Doctor Strange Costume, Marvel Comics, superhero, mystic arts, magic circle, glowing runes",
wolverine,"Wolverine Costume, Marvel Comics, superhero, claws extended, action pose",
divider_game_styles,,
harry_potter,"Harry Potter style, wizard robes, magic spells, Hogwarts",
lord_of_the_rings,"Lord of the Rings style, Middle-earth, elves, dwarves, epic battles",
game_of_thrones,"Game of Thrones style, castles, dragons, epic battles",
star_wars,"Star Wars style, Jedi and Sith, lightsabers, galactic war",
matrix,"The Matrix style, slow motion action, futuristic city",
avatar_pandora,"Avatar Pandora style, glowing blue Na'vi, alien jungle",
witcher,"The Witcher style, Geralt, monsters, medieval fantasy",
elden_ring,"Elden Ring style, epic bosses, gothic ruins, vast landscapes",
skyrim,"Skyrim style, dragons, medieval towns, snowy mountains",
cyberpunk_2077,"Cyberpunk 2077 style, futuristic city, cybernetic enhancements",
assassins_creed,"Assassin's Creed style, hooded assassins, parkour, ancient cities",
red_dead_redemption,"Red Dead Redemption style, western cowboy, horseback riding",
gta_v,"GTA V style, urban realism, modern city, cars, gangsters",
minecraft,"Minecraft style, voxel blocks, pixelated, colorful",
overwach,"Overwatch style, colorful futuristic hero shooter, stylized characters",
fortnite,"Fortnite style, cartoonish battle royale, exaggerated proportions",
fifa,"FIFA style, football match, players in action, stadium",
pes,"Pro Evolution Soccer style, football realism, jerseys, gameplay",
nba,"NBA 2K style, basketball, dunk, indoor court",
ufc,"UFC style, mixed martial arts, octagon, fighters in action",
f1,"Formula 1 racing style, race cars, racing circuit, motion blur",
gran_turismo,"Gran Turismo style, race cars, racing circuit, ultra realism",
forza,"Forza Horizon style, cinematic car photography, open world",
need_for_speed,"Need for Speed style, street racing, neon city, fast cars",
tony_hawk,"Tony Hawk Pro Skater style, skateboarding tricks, urban skatepark",
fifa_street,"FIFA Street style, street football, freestyle tricks, urban court",
divider_absurd_styles,,
banana_knight,"absurd surreal art, banana knight, armored banana warrior",
cat_president,"absurd surreal art, cat in suit as president, podium",
cowboy_in_space,"absurd surreal art, cowboy riding horse in outer space",
toaster_mecha,"absurd surreal art, giant mecha robot shaped like a toaster",
fish_with_legs,"absurd surreal art, fish walking with human legs",
penguin_barista,"absurd surreal art, penguin as a barista, coffee shop",
dog_samurai,"absurd surreal art, dog wearing samurai armor, katana",
chair_kingdom,"absurd surreal art, kingdom of living chairs, surreal fantasy",
pizza_universe,"absurd surreal art, universe made of pizza planets",
rubber_duck_apocalypse,"absurd surreal art, rubber duck invasion, giant ducks destroying city",
divider_lighting_styles,,
golden_hour,"golden hour lighting, warm sunset glow, soft shadows",
moonlight,"moonlight, night scene, cool blue tones, soft lighting",
neon_glow,"neon glow, cyberpunk lights, colorful reflections",
spotlight,"theatrical spotlight, dramatic focus lighting",
firelight,"firelight, warm glow, shadows, campfire atmosphere",
candlelight,"romantic candlelight, soft warm light, intimate mood",
foggy,"foggy scene, mist, soft diffusion, moody atmosphere",
stormy,"stormy sky, lightning, dramatic clouds, dark lighting",
backlight,"backlighting, silhouette, rim light effect",
studio_softbox,"studio lighting, softbox, professional photo style",
divider_photography_styles,,
fisheye,"fisheye lens, wide distortion, circular frame",
drone_view,"drone view, aerial shot, bird-eye perspective",
macro,"macro photography, extreme close-up, tiny details",
long_exposure,"long exposure, light trails, smooth water, motion blur",
polaroid,"polaroid photo, vintage instant film, retro colors",
dslr_highres,"DSLR style, crisp focus, depth of field, high resolution",
panorama,"panoramic view, wide shot, expansive landscape",
bokeh,"bokeh effect, blurred background, shallow depth of field",
infrared,"infrared photography, surreal colors, heat-map effect",
night_photography,"night photography, city lights, stars, dark tones",
divider_character_styles,,
cyborg,"cyborg character, robotic parts, glowing circuits, mechanical details",
vampire,"vampire character, pale skin, fangs, gothic outfit, dark aura",
zombie,"zombie character, undead, decayed body, horror atmosphere",
princess,"princess character, royal gown, tiara, elegant castle background",
magical_girl,"magical girl, anime style, glowing staff, transformation aura",
knight_hero,"heroic knight, shining armor, sword, shield, epic pose",
samurai_warrior,"samurai warrior, katana, traditional armor, battle stance",
witch_dark,"dark witch, black robes, magic spell, glowing runes",
alien,"alien character, extraterrestrial, unusual skin, sci-fi background",
robot,"robot character, futuristic design, metallic body, glowing eyes",
divider_art_medium_styles,,
charcoal_drawing,"charcoal drawing, rough strokes, dark shading, sketch style",
marker_art,"marker art, bold outlines, saturated colors, hand-drawn",
spray_paint,"spray paint art, graffiti style, vibrant street colors",
mosaic,"mosaic art, tiny tiles, geometric pattern, colorful glass",
origami_style,"origami paper art, folded shapes, geometric, minimalistic",
stained_glass,"stained glass art, glowing light, colorful glass panels",
embroidery,"embroidery art, thread patterns, textile textures, hand-stitched",
collage,"collage art, mixed media, cut and paste paper textures",
pastel_drawing,"pastel drawing, soft strokes, chalk texture, blended colors",
woodcut,"woodcut print, carved lines, high contrast, old print style",
divider_festival_styles,,
christmas,"christmas theme, snowy background, christmas tree, gifts, warm lights",
halloween_theme,"halloween theme, pumpkins, spooky atmosphere, haunted house",
easter,"easter theme, colorful eggs, spring flowers, joyful vibe",
valentine,"valentine theme, hearts, roses, romantic lighting, love mood",
new_year,"new year celebration, fireworks, night sky, festive lights",
summer_vibes,"summer theme, beach, sunshine, tropical drinks, colorful outfits",
winter_wonderland,"winter wonderland, snow, pine trees, frosty atmosphere",
autumn,"autumn theme, falling leaves, warm colors, cozy vibe",
spring_blossom,"spring blossom, cherry blossoms, fresh greenery, pastel tones",
festival_of_lights,"festival of lights, lanterns, glowing candles, night sky",
divider_pose_styles,,
standing_pose,"standing pose, natural stance, balanced body",
sitting_pose,"sitting pose, relaxed posture, casual look",
lying_pose,"lying down pose, reclined, relaxed body",
kneeling_pose,"kneeling pose, humble stance, focused expression",
running_pose,"running pose, dynamic movement, action scene",
jumping_pose,"jumping pose, mid-air, energetic motion",
fighting_pose,"fighting stance, martial arts, combat ready",
dancing_pose,"dancing pose, elegant movement, rhythmic flow",
crossed_arms,"arms crossed, confident stance, strong look",
hand_on_hip,"one hand on hip, sassy stance, stylish attitude",
divider_mood_styles,,
happy,"happy mood, bright smile, joyful expression, energetic vibe",
sad,"sad mood, teary eyes, melancholic atmosphere, soft lighting",
angry,"angry mood, fierce eyes, dramatic shadows, intense aura",
mysterious,"mysterious mood, hidden face, dark cloak, enigmatic aura",
dreamy,"dreamy mood, soft pastel tones, distant gaze, surreal lighting",
romantic,"romantic mood, intimate atmosphere, soft blush, warm glow",
fearful,"fearful mood, wide eyes, tense feeling, horror vibe",
confident,"confident mood, sharp gaze, powerful aura, dominant presence",
playful,"playful mood, cheeky smile, fun expression, colorful background",
serene,"serene mood, calm face, peaceful vibe, natural light",
divider_special_pose_styles,,
superhero_landing,"superhero landing pose, one knee down, dramatic ground impact",
yoga_pose,"yoga pose, flexible body, calm breathing, balanced posture",
fashion_runway,"fashion runway walk, confident stride, stylish elegance",
cheer_pose,"cheerleader style pose, raised arms, energetic smile",
victory_pose,"victory pose, raised fist, triumphant energy",
divider_hand_gesture_styles,,
peace_sign,"hand gesture, peace sign, playful, cheerful vibe",
finger_heart,"hand gesture, finger heart, cute, korean style",
pointing,"hand gesture, pointing finger, direct focus, assertive",
salute,"hand gesture, salute, disciplined, respectful",
wave,"hand gesture, waving hand, friendly, greeting",
thumbs_up,"hand gesture, thumbs up, approval, positive vibe",
praying_hands,"hand gesture, praying pose, humble, spiritual",
hand_heart,"hands forming a heart shape, romantic, affectionate",
shushing,"hand gesture, finger on lips, secretive, mysterious",
rock_sign,"hand gesture, rock sign, energetic, rebellious",
divider_facial_expression_styles,,
smile,"smiling expression, bright, joyful, friendly",
serious,"serious expression, focused, determined",
angry_face,"angry expression, furrowed brows, intense look",
sad_face,"sad expression, teary eyes, melancholic vibe",
crying,"crying face, emotional, tears, sorrowful",
wink,"winking expression, playful, teasing",
pout,"pouting lips, cute, sulky, childish vibe",
surprised,"surprised expression, wide eyes, open mouth, shocked",
laughing,"laughing face, cheerful, fun atmosphere",
blushing,"blushing cheeks, shy expression, embarrassed",
divider_hair_styles,,
long_straight_black,"long straight black hair, silky, natural shine",
short_blonde,"short blonde hair, stylish, modern cut",
curly_red,"curly red hair, voluminous, vibrant look",
twin_tails,"twin tails hairstyle, playful, cute style",
ponytail,"ponytail hairstyle, sporty, energetic vibe",
braided,"braided hair, detailed, traditional look",
wavy_brown,"wavy brown hair, natural, flowing style",
bob_cut,"bob cut hairstyle, chic, elegant look",
pixie_cut,"pixie cut hairstyle, short, edgy, confident",
dyed_pastel,"pastel dyed hair, soft colors, anime vibe",
ombre,"ombre hair, gradient tones, trendy style",
afro,"afro hairstyle, natural curls, voluminous",
divider_composition_styles,,
close_up,"close-up shot, face focus, detailed expression",
medium_shot,"medium shot, waist-up framing, balanced view",
full_body,"full body shot, complete figure visible",
over_shoulder,"over the shoulder perspective, cinematic look",
pov_shot,"point of view shot, immersive perspective",
wide_shot,"wide shot, expansive scene, environment focus",
extreme_close_up,"extreme close-up, eye or detail focus",
dutch_angle,"dutch angle, tilted frame, dynamic tension",
low_angle,"low angle shot, looking up, powerful perspective",
high_angle,"high angle shot, looking down, dramatic emphasis",
aerial_view,"aerial shot, top-down view, dramatic scale",
divider_weather_styles,,
rainy_day,"rainy day, raindrops, wet streets, moody atmosphere",
sunny_day,"sunny day, bright sun, clear blue sky, cheerful vibe",
snowy_day,"snowy day, falling snow, frosty vibe, cold atmosphere",
foggy_morning,"foggy morning, mist, low visibility, soft light",
thunderstorm,"thunderstorm, lightning, heavy clouds, dramatic sky",
rainbow_after_rain,"rainbow after rain, fresh air, colorful arc in sky",
windy,"windy day, hair and clothes flowing, dynamic effect",
overcast,"overcast sky, grey clouds, soft light, muted tones",
hurricane,"hurricane storm, strong winds, chaos, dark sky",
aurora_borealis,"aurora borealis, northern lights, colorful night sky",
divider_martial_arts_styles,,
karate,"karate stance, gi uniform, focused, disciplined",
judo,"judo throw, grappling, gi outfit, martial discipline",
taekwondo,"taekwondo high kick, dobok uniform, dynamic action",
kung_fu,"kung fu pose, traditional outfit, fluid movement",
muay_thai,"muay thai stance, wrapped fists, powerful kicks, ring vibe",
boxing,"boxing stance, gloves, punching action, ring lighting",
kickboxing,"kickboxing dynamic pose, gloves, intense motion",
mma,"MMA fight stance, octagon cage, gloves, aggressive posture",
kendo,"kendo armor, shinai sword, japanese dojo",
capoeira,"capoeira dance-fight move, acrobatic, rhythmic flow",
divider_weapon_styles,,
sword,"sword weapon, sharp blade, medieval style, heroic pose",
dual_blades,"dual blades, twin swords, fast combat, agile stance",
katana,"katana weapon, japanese sword, samurai style",
greatsword,"greatsword, massive blade, heavy strike, fantasy vibe",
dagger,"dagger, small blade, stealthy, assassin style",
spear,"spear weapon, long reach, warrior stance",
bow,"bow and arrow, archer style, focused aim",
crossbow,"crossbow weapon, medieval ranged, hunting style",
staff,"magic staff, glowing runes, wizard weapon",
scythe,"scythe weapon, dark aura, reaper style",
gun,"gun weapon, modern firearm, action pose",
dual_pistols,"dual pistols, akimbo stance, cinematic action",
rifle,"rifle weapon, sniper scope, military style",
machine_gun,"machine gun, rapid fire, heavy weapon, soldier vibe",
shield,"shield defense, protective stance, medieval armor",
divider_vehicle_styles,,
motorcycle,"motorcycle, dynamic riding pose, speed motion, road scene",
sports_car,"sports car, sleek design, fast racing, cinematic angle",
race_car,"race car, formula style, high speed, track environment",
truck,"truck vehicle, rugged, powerful presence",
bicycle,"bicycle ride, casual, urban or countryside",
horse_riding,"horse riding, medieval knight or cowboy style",
chariot,"ancient chariot, horses, battlefield scene",
spaceship,"spaceship, futuristic, interstellar travel, sci-fi vibe",
fighter_jet,"fighter jet aircraft, aerial combat, military style",
mecha,"mecha robot vehicle, pilot inside, sci-fi battle",
tank,"tank vehicle, heavy armor, battlefield destruction",
helicopter,"helicopter, flying, rescue or combat, cinematic view",
submarine,"submarine underwater, deep sea, military vibe",
train,"train vehicle, steam locomotive or modern bullet train",
boat,"boat sailing, ocean waves, maritime atmosphere",
divider_fantasy_creature_styles,,
dragon,"dragon creature, wings spread, fire breathing, majestic presence",
phoenix,"phoenix bird, fiery feathers, rebirth aura, glowing flames",
unicorn,"unicorn horse, glowing horn, magical forest, pure aura",
griffin,"griffin creature, eagle head, lion body, powerful stance",
kraken,"kraken sea monster, giant tentacles, stormy ocean, terrifying",
werewolf,"werewolf transformation, full moon, fierce expression, claws",
mermaid_creature,"mermaid creature, aquatic, shimmering scales, mystical",
centaur,"centaur creature, human upper body, horse lower body, bow and arrow",
fairy_creature,"fairy creature, glowing wings, small, magical dust",
golem,"stone golem, massive body, carved runes, heavy presence",
divider_music_styles,,
rock_concert,"rock concert, stage lights, guitar, cheering crowd",
pop_idol,"pop idol performance, microphone, glitter outfit, spotlight",
orchestra,"orchestra performance, classical instruments, concert hall",
dj_rave,"DJ rave party, neon lights, turntable, dancing crowd",
street_performance,"street performance, casual outfit, open crowd, urban vibe",
divider_science_tech_styles,,
laboratory,"futuristic laboratory, neon lights, test tubes, high-tech equipment",
hacker_den,"hacker den, multiple screens, dark room, cyberpunk vibe",
robot_factory,"robot factory, assembly line, mechanical arms, sparks",
time_machine,"time machine, glowing rings, sci-fi aura, time travel effect",
cyber_implant,"cybernetic implant, glowing circuits, transhumanism",
divider_animal_companion_styles,,
wolf_companion,"wolf companion, loyal, wilderness vibe, protective stance",
cat_companion,"cat companion, cute, sitting on shoulder, playful",
hawk_companion,"hawk companion, perched on arm, sharp gaze, majestic",
dragon_pet,"small dragon pet, playful, fantasy vibe, glowing eyes",
fox_spirit,"fox spirit, magical aura, multiple tails, glowing presence",
divider_food_drink_styles,,
coffee,"coffee cup, steam rising, cozy café atmosphere",
tea,"tea cup, traditional set, calming vibe",
ramen,"ramen bowl, chopsticks, hot broth, japanese style",
sushi,"sushi platter, fresh fish, wasabi, japanese restaurant",
pizza,"pizza slice, melted cheese, pepperoni topping",
burger,"burger with lettuce, cheese, juicy patty, fast food vibe",
ice_cream,"ice cream cone, colorful scoops, summer vibe",
cake,"cake slice, cream layers, dessert table",
wine,"wine glass, red wine, romantic dinner vibe",
cocktail,"cocktail drink, tropical colors, fruit garnish",
street_food,"street food stall, skewers, bustling market",
divider_water_sports_styles,,
surfing,"surfing on ocean waves, surfboard, dynamic pose, beach vibe",
scuba_diving,"scuba diving underwater, coral reef, tropical fish, bubbles",
snorkeling,"snorkeling in shallow water, mask, fins, colorful fish",
